raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
5,66235,1431698989,intelcorei5-12400f,16,1000,nvidiageforcertx3060,DDR4,6,2.5,12,700
5,178105,1653543750,intelcorei5-14600kf,32,2000,nvidiageforcertx4070ti,DDR5,14,3.5,12,700
4.8,73998,1461021582,intelcorei5-11400f,16,500,nvidiageforcertx3070ti,DDR4,6,4.4,8,750
4.9,30462,1579547366,intelcorei5-6500,32,960,intelhdgraphics,DDR4,4,3.2,1,600
4.8,79730,1467863208,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2500,8,600
5,123981,1661576391,intelcorei5-13400f,32,1000,nvidiageforcertx4070super,DDR4,10,4.0,12,750
4.9,37518,1685907007,intelxeone5-2650v2,16,512,nvidiageforcertx2060super,DDR3,8,2.6,8,500
4.6,13878,1348955692,intelcorei3-2100,16,512,intelhdgraphics2000,DDR3,2,3.1,2,400
4.7,13631,1304533653,intelcorei5-4570,16,512,inteluhdgraphics,DDR3,4,3.6,2,400
4.9,88005,1653513388,amdryzen55600x,32,1000,nvidiageforcertx4060,DDR4,6,3.7,8,550
4.5,69297,1654694701,amdryzen55600,16,512,nvidiageforcertx3060,DDR4,6,3500,12,600
4.8,16304,1428195187,intelcorei5-3470,16,512,intelhdgraphics,DDR3,4,3.2,1,600
4.5,126013,1653713464,amdryzen57500f,32,2000,nvidiageforcertx4060ti,DDR5,6,3.7,16,550
5,162229,1652469456,intelcorei5-14600kf,32,1000,nvidiageforcertx4070super,DDR5,14,3.5,12,650
4.8,68042,1265057809,intelcorei5-10400f,16,512,nvidiageforcertx2060super,DDR4,6,2.9,8,600
5,18022,1700298189,intelcorei7-4790,8,480,intelhdgraphics,DDR3,4,3.6,1,400
4.5,69545,1654694931,intelcorei5-10400f,16,1024,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.5,53426,1637607654,amdryzen55600,16,512,amdradeonrx580,DDR4,6,3500,8,500
5,15833,1700298282,intelcorei7-4790,8,120,intelhdgraphics,DDR3,4,3.6,1,400
5,76245,1637607673,amdryzen55600,32,512,nvidiageforcertx3060,DDR4,6,3500,12,600
5,46095,1421132770,amdryzen53600,16,1024,amdradeonrx580,DDR4,6,3600,8,500
4.8,21546,1648249888,intelcorei7-2600,16,1000,amdradeonrx550,DDR3,4,3.4,4,400
4.9,165420,1463138222,intelcorei7-12700f,32,1024,nvidiageforcertx4070,DDR4,12,3600,12,800
4.9,37384,1404640192,intelcorei7-2600,16,960,nvidiageforcegtx1050ti,DDR3,4,3.4,4,600
4.9,102437,1461313705,amdryzen57500f,32,1024,nvidiageforcertx3070,DDR4,6,3700,8,600
4.9,47012,1404638187,amdryzen54600g,32,960,amdradeonvega7,DDR4,6,3.7,2,600
5,85007,1637607753,intelcorei5-10400f,32,1024,nvidiageforcertx3070,DDR4,6,2.9,8,600
4.9,158806,1666730382,intelcorei9-14900kf,16,500,amdradeonrx6700xt,DDR5,24,3.2,12,800
5,55292,1651821711,amdryzen55600,16,512,amdradeonrx5700xt,DDR4,6,3500,8,500
4.5,159704,1652469780,amdryzen57500f,32,1000,nvidiageforcertx4070ti,DDR5,6,3.7,12,700
4.9,52804,1654695231,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
3.6,52171,1585507713,intelcorei7-10700,32,1000,nvidiageforcertx2060super,DDR3,6,3.2,8,500
4.9,63948,1654695374,intelcorei5-10400f,16,1024,nvidiageforcertx3050,DDR4,6,2900,8,500
4.5,34776,1577394118,intelxeone5-2670v3,32,1024,amdradeonrx580,DDR4,12,3.1,8,600
4.9,40879,1654694595,amdryzen52600,8,256,amdradeonrx580,DDR4,6,3400,8,500
5,16689,1700298133,intelcorei7-4790,16,120,intelhdgraphics,DDR3,4,3.6,1,400
4.9,42199,1685907150,intelxeone5-2650v2,32,1024,nvidiageforcertx2060super,DDR3,8,2.6,8,500
4.5,5027,1616097640,amda88670e,,512,amdradeonr7,DDR4,4,2.8,8,180
4.9,70040,1555439988,amdryzen53600,32,1024,nvidiageforcertx3060,DDR4,6,3.6,12,600
4.7,55745,1134469545,intelcorei7-7700,16,1000,nvidiageforcertx3060ti,DDR3,8,2.6,8,500
4.5,84353,1637606417,intelcorei5-10400f,32,1024,nvidiageforcertx4060,DDR4,6,2.9,8,600
4.7,81737,1637607331,intelcorei5-12400f,32,1024,nvidiageforcertx3060,DDR4,6,2500,12,600
4.9,58829,1654695134,intelcorei5-10400f,16,1024,nvidiageforcegtx1660super,DDR4,6,2900,6,500
4.7,119467,833227202,amdryzen55600,32,1024,nvidiageforcertx3060ti,DDR4,6,4.4,8,600
4.9,79320,1422274984,amdryzen55600,32,1024,nvidiageforcertx2060super,DDR4,6,3500,8,600
5,79549,1427466219,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2500,8,600
4.8,66022,1607905950,intelcorei5-11400f,16,1000,amdradeonrx6600,DDR4,6,4.4,8,500
4.9,61487,1654695189,intelcorei3-10105f,32,1024,nvidiageforcertx2060super,DDR4,4,3600,8,600
4.9,41132,1553830251,amdryzen55600,16,512,amdradeonrx580,DDR4,6,3500,8,500
4.9,65940,1685907149,intelcorei5-12400f,16,512,nvidiageforcertx3060,DDR4,6,2.5,12,500
4.9,201919,1653513277,intelcorei7-14700kf,32,2000,nvidiageforcertx4070ti,DDR5,20,3.4,12,750
4.9,80814,1666729040,intelcorei5-12400f,16,500,nvidiageforcertx3050,DDR5,6,2.5,8,600
4.5,116661,1637607608,amdryzen57500f,32,512,nvidiageforcertx3080,DDR4,6,3700,10,800
4.9,22027,1673579593,intelxeone5-2650v3,16,256,nvidiageforcegt730,DDR4,10,2.3,4,400
4.9,201919,1652469966,intelcorei7-14700kf,32,2000,nvidiageforcertx4070ti,DDR5,20,3.4,12,750
5,81447,1614658988,intelcorei5-12400f,32,1024,nvidiageforcertx4060,DDR4,6,2.5,8,600
5,21889,1234483554,intelcorei7-2600,16,512,intelhdgraphics2000,DDR3,8,3.4,2,600
4.9,167751,1666731958,intelcorei7-14700kf,32,1000,nvidiageforcertx4070super,DDR5,20,3.4,12,800
4.9,49841,1579333847,amdryzen52600,8,256,nvidiageforcegtx1650,DDR4,6,3400,4,500
4.9,165420,1463138222,intelcorei7-12700f,32,1024,nvidiageforcertx4070,DDR4,12,3600,12,800
4.9,99175,1453867607,intelcorei7-12700f,16,1024,nvidiageforcertx3060,DDR4,12,3600,12,600
4.9,45557,1421467753,intelcorei3-10105f,16,1024,amdradeonrx580,DDR4,4,3700,8,500
4.9,74414,1453188812,amdryzen55600,16,1024,nvidiageforcertx3060,DDR4,6,3500,12,600
4.5,29772,1308743872,intelcorei7-7700,32,1000,amdradeonrx580,DDR3,4,3,8,500
4.9,68057,1654695040,amdryzen55600,32,1024,nvidiageforcertx3050,DDR4,6,3500,8,500
4.9,68010,1556034032,amdryzen53600,16,512,nvidiageforcertx3050,DDR4,6,3.6,8,500
4.5,56443,1637607565,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
4.9,41132,1553830251,amdryzen55600,16,512,amdradeonrx580,DDR4,6,3500,8,500
4.9,52804,1654695231,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
5,18247,1235037654,intelcorei7-2600,16,512,intelhdgraphics2000,DDR3,8,3.4,2,500
4.5,56443,1637607565,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
4.9,171857,1666734486,intelcorei9-14900kf,64,1000,nvidiageforcertx3060,DDR5,24,3.2,12,800
5,89403,1431698905,intelcorei7-12700f,32,1000,nvidiageforcertx4060,DDR4,12,2.1,8,700
4.8,66022,1607905950,intelcorei5-11400f,16,1000,amdradeonrx6600,DDR4,6,4.4,8,500
5,93038,1659687913,amdryzen57600,32,256,nvidiageforcertx3070ti,DDR5,6,4,8,800
4.9,99175,1453867607,intelcorei7-12700f,16,1024,nvidiageforcertx3060,DDR4,12,3600,12,600
4.5,78599,1637607341,amdryzen53600,16,1024,nvidiageforcertx4060,DDR4,6,3.6,8,600
5,172648,1652469896,intelcorei5-14600kf,32,1000,nvidiageforcertx4070ti,DDR5,14,3.5,12,700
4.7,34161,1584178444,intelcorei7-2600,16,512,amdradeonrx580,DDR3,4,3.4,8,600
4.9,223930,1666732397,intelcorei9-14900kf,32,1000,nvidiageforcertx3080,DDR5,24,3.2,12,800
5,40029,1404635426,intelcorei7-4770,16,480,nvidiageforcegtx1050ti,DDR3,4,3.4,4,600
4.9,82167,1666725455,intelcorei5-14400f,16,1000,nvidiageforcertx3050,DDR4,10,2.5,8,600
4.8,123624,1461023469,intelcorei9-11900f,32,1000,nvidiageforcertx4070super,DDR4,16,5.2,12,750
4.5,136927,1652469579,amdryzen57500f,32,1000,nvidiageforcertx4070,DDR5,6,3.7,12,650
5,85007,1637607753,intelcorei5-10400f,32,1024,nvidiageforcertx3070,DDR4,6,2.9,8,600
4.9,16510,1579554748,intelcorei5-3470,16,480,intelhdgraphics,DDR3,4,3.2,1,600
4.6,69705,1556380448,intelcorei5-12400f,16,256,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.9,246569,1653513294,intelcorei7-14700kf,32,1000,nvidiageforcertx4080super,DDR5,20,3.4,16,800
4.9,201295,1666731461,intelcorei9-14900kf,64,1000,nvidiageforcertx4060ti,DDR5,24,3.2,16,800
4.7,38041,1584197666,intelcorei7-2600,16,1024,amdradeonrx580,DDR3,4,3.4,8,600
4.9,156276,1653513746,intelcorei7-14700kf,32,2000,nvidiageforcertx4060ti,DDR5,20,3.4,8,600
4.9,77376,1418571189,intelcorei5-12400f,32,960,nvidiageforcertx3060ti,DDR4,6,2.5,8,700
5,70238,1638862671,intelcorei5-12400f,16,1000,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.8,10220,1627314209,amdproa8-8650b,8,240,amdradeonr7,DDR4,4,2.8,8,600
4.7,38135,1703686143,intelcorei5-3470,16,1024,amdradeonrx580,DDR3,4,3.2,8,600
4.5,84353,1637606417,intelcorei5-10400f,32,1024,nvidiageforcertx4060,DDR4,6,2.9,8,600
4.9,69966,1678970572,intelcorei5-12400f,32,256,nvidiageforcertx2060super,DDR4,6,2500,8,650
4.5,90171,1637607099,amdryzen57500f,8,256,nvidiageforcertx4060,DDR5,6,3700,8,600
4.9,73367,1453349480,intelcorei5-10400f,16,1024,nvidiageforcertx3060,DDR4,6,2.9,12,600
5,18247,1235037654,intelcorei7-2600,16,512,intelhdgraphics2000,DDR3,8,3.4,2,500
4.9,181578,1652471167,intelcorei7-14700kf,32,2000,nvidiageforcertx4070,DDR5,20,3.4,12,700
5,155046,1625579606,intelcorei9-11900,32,1512,nvidiageforcertx4070ti,DDR4,8,2.5,12,800
5,95392,1525265659,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,600
4.5,71280,1654695102,intelcorei5-10400f,32,512,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.5,95651,1637607155,amdryzen57500f,16,1024,nvidiageforcertx3070,DDR4,6,3700,8,600
4.9,76100,1692933445,intelcorei5-12400f,32,960,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.9,11789,1404643322,intelcorei3-3220,8,240,intelhdgraphics,DDR3,2,3.2,1,450
4.9,193915,1666729508,intelcorei7-14700kf,16,1000,nvidiageforcertx4070ti,DDR5,20,3.4,12,800
4.5,81817,1654695526,intelcorei5-10400f,32,1024,nvidiageforcertx4060,DDR4,6,2.9,8,600
5,79549,1427466219,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2500,8,600
5,118749,1637606918,amdryzen53600,32,1024,nvidiageforcertx4070,DDR4,6,3.6,12,800
5,33726,1164392677,amdryzen55600g,32,512,amdradeonvega7,DDR4,6,3.9,2,350
4.9,86175,1666726022,intelcorei5-14400f,16,500,nvidiageforcertx3050,DDR4,10,2.5,8,600
4.9,83312,1392929158,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,600
4.5,36546,1648218521,intelcorei3-10100f,16,500,nvidiageforcegtx1050ti,DDR4,4,3.6,4,450
4.9,63010,1691177280,intelcorei7-3820,32,1024,nvidiageforcertx2060super,DDR4,8,3.8,8,600
5,93038,1659687913,amdryzen57600,32,256,nvidiageforcertx3070ti,DDR5,6,4,8,800
5,64849,1638864418,intelcorei5-12400f,16,500,nvidiageforcertx3060,DDR4,6,2.5,12,700
4.9,45950,1553830220,intelcorei5-10400f,16,512,amdradeonrx580,DDR4,6,2900,8,500
4.9,68057,1654695040,amdryzen55600,32,1024,nvidiageforcertx3050,DDR4,6,3500,8,500
5,66413,1564256220,intelcorei5-11400f,8,480,nvidiageforcertx3060,DDR4,6,2.6,12,600
5,80822,1637607419,amdryzen55600,32,512,nvidiageforcertx3070,DDR4,6,3500,8,600
4.5,12553,1616080401,amda88670e,8,480,amdradeonr7,DDR4,4,2.8,8,180
4.5,36546,1648218521,intelcorei3-10100f,16,500,nvidiageforcegtx1050ti,DDR4,4,3.6,4,450
4.9,86184,1453265037,amdryzen57500f,16,512,nvidiageforcertx3060,DDR4,6,3700,12,600
4.8,10220,1627314209,amdproa8-8650b,8,240,amdradeonr7,DDR4,4,2.8,8,600
4.9,14237,1404640126,intelcorei3-3220,16,480,intelhdgraphics,DDR3,2,3.2,1,450
5,118749,1637606918,amdryzen53600,32,1024,nvidiageforcertx4070,DDR4,6,3.6,12,800
5,96580,1665715330,amdryzen77700,32,256,nvidiageforcertx3070ti,DDR5,8,4,8,800
5,67243,1638864388,intelcorei5-12400f,16,500,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.5,86555,1654694981,intelcorei5-12400f,32,1024,nvidiageforcertx4060,DDR4,6,2500,8,600
4.8,21465,1201927432,intelcorei7-2600,16,512,intelhdgraphics,DDR3,4,3.4,1,600
4.5,74283,1637607013,amdryzen55600,32,512,nvidiageforcertx3060,DDR4,6,3500,12,600
5,73427,1638864344,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.9,73282,1504780820,intelcorei5-10400f,32,960,nvidiageforcertx3060ti,DDR4,6,2.9,8,700
4.5,75983,1637607517,intelcorei5-10400f,8,256,nvidiageforcertx4060,DDR4,6,2.9,8,600
4.9,49841,1579333847,amdryzen52600,8,256,nvidiageforcegtx1650,DDR4,6,3400,4,500
5,130551,1581678134,intelcorei5-13600kf,16,512,nvidiageforcertx4070,DDR4,14,3.5,12,700
4.9,62602,1553830214,amdryzen53600,32,1024,nvidiageforcertx2060super,DDR4,6,3.6,8,600
4.9,85021,1653512980,amdryzen55600x,16,2000,amdradeonrx7600,DDR4,6,3.7,8,550
4.7,38041,1584197666,intelcorei7-2600,16,1024,amdradeonrx580,DDR3,4,3.4,8,600
4.7,69419,1332838198,intelcorei5-10400f,32,960,nvidiageforcertx3050,DDR4,6,4.3,8,500
4.8,15841,1181080891,intelcorei5-3470,8,256,intelhdgraphics,DDR3,4,3.2,1,600
4.9,37389,1404727893,amdryzen54600g,16,480,amdradeonvega7,DDR4,6,3.7,2,450
5,15833,1700298282,intelcorei7-4790,8,120,intelhdgraphics,DDR3,4,3.6,1,400
4.5,73106,1637607269,amdryzen55600,16,512,nvidiageforcertx3060,DDR4,6,3500,12,600
4.5,55507,1577394089,intelxeone5-2670v3,32,512,nvidiageforcertx3060,DDR4,12,3.1,12,600
4.9,40833,969607971,amdryzen53600,16,512,amdradeonrx580,DDR4,6,3600,8,500
4.9,69966,1678970572,intelcorei5-12400f,32,256,nvidiageforcertx2060super,DDR4,6,2500,8,650
5,130551,1581678134,intelcorei5-13600kf,16,512,nvidiageforcertx4070,DDR4,14,3.5,12,700
4.8,62671,1630291067,intelcorei5-10400f,16,512,nvidiageforcertx2060super,DDR4,6,2.9,8,600
5,88119,1581678317,intelcorei5-13400f,16,256,nvidiageforcertx4060ti,DDR4,10,2.5,8,600
5,59235,1446576627,intelcorei5-10400f,32,512,nvidiageforcertx2060super,DDR4,6,4.3,8,550
4.9,148338,1653512627,intelcorei7-14700kf,64,1000,amdradeonrx7600,DDR5,20,3.4,8,600
4.9,45813,1654695082,amdryzen53600,16,512,nvidiageforcegtx1650,DDR4,6,3600,4,500
4.9,68659,1422484137,intelcorei5-10400f,32,1024,nvidiageforcertx2060super,DDR4,6,2900,8,600
4.5,82261,1637607736,amdryzen55600,16,1024,nvidiageforcertx4060,DDR4,6,3500,8,600
4.9,61648,1553830255,amdryzen55600,32,1024,nvidiageforcegtx1660super,DDR4,6,3500,6,500
4.5,95210,1654695032,intelcorei5-10400f,32,1024,nvidiageforcertx3080,DDR4,6,2.9,10,800
4.5,111572,1637607619,intelcorei5-13400f,32,1024,nvidiageforcertx3080,DDR4,10,2500,10,800
4.9,64958,1553830065,amdryzen55600,16,1024,nvidiageforcertx2060super,DDR4,6,3500,8,600
4.9,66305,1422814625,intelcorei5-10400f,16,1024,nvidiageforcertx3050,DDR4,6,2900,8,500
4.5,55507,1577394089,intelxeone5-2670v3,32,512,nvidiageforcertx3060,DDR4,12,3.1,12,600
4.9,61328,511391668,intelxeone5-2650v2,16,512,amdradeonrx580,DDR3,16,3100,8,600
4.9,47012,1404638187,amdryzen54600g,32,960,amdradeonvega7,DDR4,6,3.7,2,600
5,142384,1652468687,intelcorei5-12400f,32,1000,nvidiageforcertx3090,DDR4,6,2.5,24,850
4.9,45142,1553830030,intelcorei5-10400f,16,512,amdradeonrx580,DDR4,6,2900,8,500
4.9,76100,1692933445,intelcorei5-12400f,32,960,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.5,115486,1637607669,amdryzen53600,32,512,nvidiageforcertx4070,DDR4,6,3.6,12,800
5,33726,1164392677,amdryzen55600g,32,512,amdradeonvega7,DDR4,6,3.9,2,350
4.9,64958,1553830065,amdryzen55600,16,1024,nvidiageforcertx2060super,DDR4,6,3500,8,600
5,94678,1567762802,intelcorei712700f,16,256,nvidiageforcertx3060,DDR4,12,2.9,12,600
4.5,39214,1577394245,intelxeone5-2670v3,64,1024,amdradeonrx580,DDR4,12,3.1,8,600
5,46636,597379069,intelcorei7-870,16,512,amdradeonrx570,DDR4,8,3.60,6,600
5,84028,1652469947,intelcorei5-12400f,32,1000,nvidiageforcertx3060,DDR4,6,2.5,12,550
5,55292,1651821711,amdryzen55600,16,512,amdradeonrx5700xt,DDR4,6,3500,8,500
5,16689,1700298133,intelcorei7-4790,16,120,intelhdgraphics,DDR3,4,3.6,1,400
5,85007,1637607753,intelcorei5-10400f,32,1024,nvidiageforcertx3070,DDR4,6,2.9,8,600
4.9,49320,1421159106,amdryzen53600,32,1024,amdradeonrx580,DDR4,6,3600,8,500
4.7,34161,1584178444,intelcorei7-2600,16,512,amdradeonrx580,DDR3,4,3.4,8,600
4.6,69705,1556380448,intelcorei5-12400f,16,256,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.7,52945,1703624900,intelcorei5-3470,16,512,nvidiageforcegtx1660super,DDR3,4,3.2,6,600
5,52276,1637607704,amdryzen52600,32,512,amdradeonrx580,DDR4,6,2600,8,500
4.7,40707,1588931789,intelcorei7-2600,16,256,nvidiageforcegtx1660super,DDR3,4,3.4,6,600
4.9,77552,1453217121,amdryzen55600,32,1024,nvidiageforcertx3060,DDR4,6,3500,12,600
4.9,59175,1654694500,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
4.9,40309,1606765063,intelcorei5-9400f,16,480,nvidiageforcegtx1050ti,DDR4,6,4.1,4,400
5,18022,1700298189,intelcorei7-4790,8,480,intelhdgraphics,DDR3,4,3.6,1,400
5,36944,1508638895,intelcorei7-8700,32,500,amdradeonrx580,DDR3,10,3.6,8,500
4.9,55366,1691176785,intelcorei7-3820,16,512,nvidiageforcertx2060super,DDR4,8,3.8,8,600
4.8,82645,1200469806,amdryzen55600,32,1024,nvidiageforcertx3060,DDR4,6,3.5,12,600
5,89520,1431698846,intelcorei7-12700f,32,1000,nvidiageforcertx4060,DDR4,12,2.1,8,700
4.9,97739,1461307836,amdryzen57500f,16,1024,nvidiageforcertx3070,DDR4,6,3700,8,600
5,64849,1638864418,intelcorei5-12400f,16,500,nvidiageforcertx3060,DDR4,6,2.5,12,700
4.7,55745,1134469545,intelcorei7-7700,16,1000,nvidiageforcertx3060ti,DDR3,8,2.6,8,500
5,85569,1567053431,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,4400,8,600
4.9,49841,1579333847,amdryzen52600,8,256,nvidiageforcegtx1650,DDR4,6,3400,4,500
5,89403,1431698905,intelcorei7-12700f,32,1000,nvidiageforcertx4060,DDR4,12,2.1,8,700
4.7,46918,1637607029,intelcorei3-10105f,8,256,amdradeonrx580,DDR4,4,3700,8,500
4.5,77602,1654694472,intelcorei5-12400f,16,1024,nvidiageforcertx3060ti,DDR4,6,2500,8,600
4.9,137058,1463109089,amdryzen55600,32,1024,nvidiageforcertx4070,DDR4,6,3500,12,800
4.9,89000,1655758891,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,550
4.5,95210,1654695032,intelcorei5-10400f,32,1024,nvidiageforcertx3080,DDR4,6,2.9,10,800
5,77122,1580615141,intelcorei5-12400f,16,480,amdradeonrx7600,DDR4,6,2.5,8,600
4.9,89000,1652470733,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,550
5,94035,1661576405,intelcorei5-13400f,32,1000,nvidiageforcertx4060,DDR4,10,4.0,8,700
4.9,68010,1556034032,amdryzen53600,16,512,nvidiageforcertx3050,DDR4,6,3.6,8,500
4.9,92925,1612206638,intelcorei5-13400f,32,960,nvidiageforcertx3060ti,DDR4,10,2.5,8,700
4.5,115983,1654694514,amdryzen55600,32,1024,nvidiageforcertx4070,DDR4,6,3500,12,800
5,154097,1612350397,intelcorei5-14400f,32,1024,nvidiageforcertx4060ti,DDR5,10,2.5,8,600
5,67243,1638864388,intelcorei5-12400f,16,500,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.9,45813,1553830103,amdryzen53600,32,512,amdradeonrx580,DDR4,6,3600,8,500
4.9,93824,1461625144,amdryzen57500f,16,512,nvidiageforcertx4060,DDR5,6,3700,8,600
4.8,70603,1653719167,amdryzen53600,32,1000,nvidiageforcertx3060,DDR4,6,3.6,12,550
4.9,37384,1404640192,intelcorei7-2600,16,960,nvidiageforcegtx1050ti,DDR3,4,3.4,4,600
5,94035,1661576405,intelcorei5-13400f,32,1000,nvidiageforcertx4060,DDR4,10,4.0,8,700
4.5,77602,1654694472,intelcorei5-12400f,16,1024,nvidiageforcertx3060ti,DDR4,6,2500,8,600
5,98931,1427466707,intelcorei5-12400f,32,1000,nvidiageforcertx4060ti,DDR4,6,2500,16,600
4.5,67910,1654694932,amdryzen53600,16,512,nvidiageforcertx3060,DDR4,6,3.6,12,600
5,95782,1637607701,amdryzen57500f,32,1024,nvidiageforcertx3060,DDR4,6,3700,12,600
4.9,165134,1555440175,intelcorei7-12700f,32,1024,nvidiageforcertx4070ti,DDR4,12,3600,12,800
4.9,58044,1418571193,intelcorei5-10400f,16,480,nvidiageforcegtx1660super,DDR4,6,2.9,6,600
4,55704,650524667,intelcorei5-10400f,8,480,nvidiageforcertx3050,DDR4,6,2.9,8,600
4.9,45148,1654695420,amdryzen52600,8,256,nvidiageforcegtx1660super,DDR4,6,3400,6,500
4.7,54422,1335460896,intelcorei5-11400f,16,480,nvidiageforcegtx1650,DDR4,6,4.4,4,400
4.9,78696,1421953946,intelcorei5-12400f,32,960,nvidiageforcertx3060,DDR4,6,2.5,12,700
4.9,51930,1654695323,intelcorei5-10400f,32,512,nvidiageforcegtx1650,DDR4,6,2900,4,500
4.9,75198,1453377915,intelcorei5-10400f,32,512,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.9,55549,1654695122,amdryzen55600,32,512,amdradeonrx580,DDR4,6,3500,8,500
4.5,72060,1637607236,amdryzen53600,8,256,nvidiageforcertx3070,DDR4,6,3.6,8,600
4.9,56285,1654695220,amdryzen52600,16,512,nvidiageforcertx3050,DDR4,6,3400,8,500
4.5,67910,1654694932,amdryzen53600,16,512,nvidiageforcertx3060,DDR4,6,3.6,12,600
4.9,46560,1579560026,amdryzen55600g,32,960,amdradeonvega7,DDR4,6,3.9,2,450
4.5,98914,1637607458,amdryzen57500f,16,1024,nvidiageforcertx4060,DDR5,6,3700,8,600
5,93038,1659687913,amdryzen57600,32,256,nvidiageforcertx3070ti,DDR5,6,4,8,800
5,81447,1614658988,intelcorei5-12400f,32,1024,nvidiageforcertx4060,DDR4,6,2.5,8,600
4.9,46962,1654695388,amdryzen55600,16,512,amdradeonrx580,DDR4,6,3500,8,500
4.9,49857,1654695207,intelcorei5-10400f,16,1024,amdradeonrx580,DDR4,6,2900,8,500
4.9,83996,1579559680,intelcorei5-12400f,32,960,nvidiageforcertx3060ti,DDR4,6,2.5,8,700
4.9,55549,1654695122,amdryzen55600,32,512,amdradeonrx580,DDR4,6,3500,8,500
4.8,21931,1239775638,intelcorei7-2600,16,1024,intelhdgraphics,DDR3,4,3.4,1,450
5,96657,883694741,amdryzen75800x,32,1000,nvidiageforcertx3060,DDR4,8,3800,12,600
4.9,71323,857167071,intelcorei7-5820k,32,1000,nvidiageforcegtx1660super,DDR4,12,3.60,6,500
4.5,78599,1637607341,amdryzen53600,16,1024,nvidiageforcertx4060,DDR4,6,3.6,8,600
4.9,48827,1553830247,amdryzen55600,16,1024,amdradeonrx580,DDR4,6,3500,8,500
4.9,70644,1555440078,amdryzen53600,16,1024,nvidiageforcertx3060ti,DDR4,6,3.6,8,600
4.9,45813,1553830103,amdryzen53600,32,512,amdradeonrx580,DDR4,6,3600,8,500
5,118749,1637606918,amdryzen53600,32,1024,nvidiageforcertx4070,DDR4,6,3.6,12,800
5,99719,1652470887,intelcorei5-12400f,32,1000,nvidiageforcertx4060ti,DDR4,6,2.5,8,550
4.7,33626,1576264383,intelxeone5-2650v2,32,1024,amdradeonrx580,DDR3,8,2.6,8,600
4.9,53061,1209405814,intelcorei3-10100f,16,512,nvidiageforcegtx1660super,DDR4,4,3.6,6,600
4.9,70644,1555440078,amdryzen53600,16,1024,nvidiageforcertx3060ti,DDR4,6,3.6,8,600
4.5,56443,1637607565,amdryzen55600,32,1024,amdradeonrx580,DDR4,6,3500,8,500
4.5,82522,1637607383,amdryzen57500f,8,256,nvidiageforcertx3060,DDR4,6,3700,12,600
4.5,52979,1637607551,amdryzen53600,16,1024,amdradeonrx580,DDR4,6,3600,8,500
4.9,56285,1654695220,amdryzen52600,16,512,nvidiageforcertx3050,DDR4,6,3400,8,500
4.7,46212,1664983309,intelxeone5-2650v2,32,1024,nvidiageforcegtx1660super,DDR3,8,2.6,6,600
5,74395,1600291770,amdryzen55600,16,1024,nvidiageforcertx4060,DDR4,6,4.4,8,600
5,12464,1694851652,intelcorei5-2320,8,240,intelgraphics,DDR3,4,3.7,1,350
4.5,5027,1616097640,amda88670e,,512,amdradeonr7,DDR4,4,2.8,8,180
4.8,12972,1215207836,intelcorei5-2400,8,240,intelhdgraphics,DDR3,4,3.1,1,400
4.9,83261,1465284898,intelcorei7-5820k,32,1000,nvidiageforcertx3050,DDR4,12,3.60,8,600
4.9,84229,1555440054,intelcorei5-12400f,32,1024,nvidiageforcertx3060,DDR4,6,2500,12,600
4.5,115983,1654694514,amdryzen55600,32,1024,nvidiageforcertx4070,DDR4,6,3500,12,800
4.5,90171,1637607099,amdryzen57500f,8,256,nvidiageforcertx4060,DDR5,6,3700,8,600
4.8,16495,1557363008,intelcorei7-2600,16,256,intelhdgraphics,DDR3,4,3.4,1,600
4.9,40833,969607971,amdryzen53600,16,512,amdradeonrx580,DDR4,6,3600,8,500
