raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
5,92671,1581678062,intelcorei5-13400f,32,512,nvidiageforcertx4060ti,DDR4,10,2.5,8,600
4.6,65613,1600290611,intelcorei5-12400f,16,512,nvidiageforcertx3060ti,DDR4,6,2.9,8,600
4.8,12150,1215207887,intelcorei5-2400,16,240,intelhdgraphics,DDR3,4,3.1,1,400
4.6,137925,1581678005,intelcorei5-13600kf,32,1000,nvidiageforcertx4070,DDR4,14,3.5,12,700
4.9,19066,1404643451,intelcorei5-4570,16,960,intelhdgraphics,DDR3,4,3.2,1,600
4.7,27051,1276057660,intelcorei3-2100,16,1024,nvidiageforcegtx1050ti,DDR3,2,3.1,4,600
4.4,28915,1690500210,intelxeone5-2666v3,16,512,amdradeonrx580,DDR4 Reg,10,2.9,8,500
4.9,17689,1604935007,intelcorei5-4570,16,480,intelhdgraphics,DDR3,4,3.2,1,600
4.8,52130,1607904846,intelcorei5-11400f,16,512,amdradeonrx5600xt,DDR4,6,4.4,6,450
5,34219,961454015,amdryzen55600g,16,1000,amdradeonvega7,DDR4,6,4.4,2,500
4.4,29710,1628976889,intelxeone5-2666v3,16,512,amdradeonrx580,DDR4 Reg,10,2.9,8,500
5,56072,1549211158,intelcorei5-10400f,8,256,nvidiageforcertx3050,DDR4,6,2.9,8,600
4.7,31011,1628135419,intelxeone5-2640v4,16,512,amdradeonrx580,DDR4 Reg,10,2.4,8,500
5,133459,1581678242,intelcorei5-13600kf,16,1000,nvidiageforcertx4070,DDR4,14,3.5,12,700
4.9,229205,1653513499,intelcorei7-14700f,32,1000,nvidiageforcertx4080,DDR5,20,2.1,16,800
4.5,20898,1497929193,intelcorei5-2400,16,128,nvidiageforcegtx1050ti,DDR3,4,3.4,4,500
4.7,12930,1590383397,amdproa8-8650b,16,512,amdradeonr7,DDR3,4,3900,8,300
4.7,9131,1627312617,amda10-6700,8,240,amdradeonr7,DDR3,4,3.7,8,600
2.5,37160,1637158367,intelxeone5-2650v2,32,512,nvidiageforcegtx1660super,DDR4,8,3.4,6,500
4.8,45252,1678819785,intelxeone5-2650v3,32,1024,nvidiageforcertx2060super,DDR4 Reg,10,2.3,8,500
4.8,67321,1653513197,amdryzen53600,16,512,amdradeonrx7600,DDR4,6,3.6,8,550
5,80049,1652470004,intelcorei5-12400f,16,1000,nvidiageforcertx3060,DDR4,6,2.5,12,550
4.7,25027,1449786292,intelxeone5-2650v2,16,256,amdradeonrx580,DDR3,8,3.4,8,500
5,85057,1193131205,intelcorei5-12400f,32,960,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.8,78061,1653513439,amdryzen53600,16,1000,nvidiageforcertx3070,DDR4,6,3.6,8,650
4.5,9930,1609954989,intelcorei5-2300,8,120,intelhdgraphics2000,DDR3,4,3100,1,400
4.6,17709,1315711243,intelxeone5-2650v2,16,256,nvidiageforcegt730,DDR3,8,3.4,4,500
4.5,5881,1577628048,amdproa8-8650b,8,120,amdradeonr7,DDR3,4,3.2,8,240
5,17593,1700298562,intelcorei7-4790,16,240,intelhdgraphics,DDR3,4,3.6,1,400
4.5,96434,1637606835,amdryzen55600,16,1024,nvidiageforcertx3080,DDR4,6,3500,10,800
4.8,21462,1138231321,intelcorei7-2600,16,1024,intelhdgraphics,DDR3,4,3.4,1,600
5,46560,1459016636,intelcorei7-4770,16,960,nvidiageforcegtx1050ti,DDR3,4,3.4,4,600
4.9,76375,1454009853,amdryzen55600,16,1024,nvidiageforcertx3060ti,DDR4,6,3500,8,600
5,62617,1566846771,intelcorei5-10400f,8,256,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.9,63469,1547074421,intelcorei5-10400f,32,960,nvidiageforcegtx1050ti,DDR4,6,2900,4,600
4.9,89000,1652470733,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,550
5,67908,833226966,amdryzen55600,16,1024,nvidiageforcertx3060,DDR4,6,4.4,12,600
5,80049,1652469581,intelcorei5-12400f,16,1000,nvidiageforcertx3060,DDR4,6,2.5,12,550
4.7,6756,1590379596,amdproa8-8650b,8,512,amdradeonr7,DDR3,4,3900,8,300
